nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat	szAchievement
175	MainTask1_175	[C] Nguyên Nhân	Nguyệt My Nhi cô nương! Cô ấy ở đây ư! Làm sao cô ấy thoát được? Không xong rồi, cứu nàng ấy trước đã!	Hỏi [FFFE0D]Nguyệt My Nhi[-] sao lại ở đây	Hỏi [FFFE0D]Nguyệt My Nhi[-] sao lại ở đây	[url=clientnpcbyidx:test, 118]	[url=clientnpcbyidx:test, 118]	118|258	118	174	176	168								Exp|20000;Gold|10000			1	1													
176	MainTask1_176	[C] Tráng Sĩ	Thì ra Tường Vi cô nương cũng bị bắt đến đây, Phi Long Bảo Bảo vệ rất nghiêm ngặt, phải cẩn thận!	Đến [FFFE0D]Phi Long Bảo[-] cứu Tường Vi	Đến [FFFE0D]Phi Long Bảo[-] cứu Tường Vi	[url=goanddosomething:test, 497, 8100, 6900, gotofuben, 3, 7, 1]		155|258	155	175	177			3|7|1	1			1		Exp|20000;Gold|10000			1	1													
177	MainTask1_177	[C] Ngọc Quý Trên Tay	Tường Vi cô nương sắc mặt nhợt nhạt. Đi xem cô ấy thế nào rồi!	Hỏi [FFFE0D]Tường Vi[-] cảm thấy thế nào	Hỏi [FFFE0D]Tường Vi[-] cảm thấy thế nào	[url=clientnpcbyidx:test, 119]	[url=clientnpcbyidx:test, 119]	119|258	119	176	178	170								Exp|20000;Gold|10000;Item|212|5			1	1													
178	MainTask1_178	[C] Lá Rơi Yên Lặng	Nếu Tường Vi cô nương thấy cảnh Lạc Diệp Cốc bây giờ, e rằng...nhưng Mạnh đại hiệp đã mất, dù gì cũng phải để cô ấy đi hoàn thành chữ hiếu.	Dẫn Tường Vi về gặp [FFFE0D]Mạnh Tri Thu[-]	Dẫn Tường Vi về gặp [FFFE0D]Mạnh Tri Thu[-]	[url=pos:test,497,6550,9100]	[url=pos:test,497,6550,9100]	70|80|110|247|258	110|247|258	177	179				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 171]				403								
179	MainTask1_179	[C] Thần Y Diệu Thủ	Tường Vi cô nương đã trúng kịch độc! Hi vọng Hồ Thần Y có cách giải loại độc này!	Đến Vong Ưu Đảo tìm [FFFE0D]Hồ Thần Y[-]	Đến Vong Ưu Đảo tìm [FFFE0D]Hồ Thần Y[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	66|70|80|109		178	180	172	417							Exp|20000;Gold|10000			1	1													
180	MainTask1_180	[C] Chuyện Xưa	Không ngờ ngay cả Hồ Thần Y cũng hết cách... Xem ra Tường Vi cô nương lành ít dữ nhiều... Hoàn thành tâm nguyện cuối cùng của cô ấy vậy...	Dẫn Tường Vi [FFFE0D]đi dạo[-]	Dẫn Tường Vi [FFFE0D]đi dạo[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	66|70|80|109	66|109	179	181				1	1	174			Exp|20000;Gold|10000			1	1	[url=dialog:test, 173]												
181	MainTask1_181	[C] Trở Lại Bi Ma	Hãy để Tường Vi cô nương sống những ngày cuối của cô ấy ở Bi Ma Sơn Trang. Gần đây cũng không có tin tức của Nạp Lan cô nương...không biết cô ấy thế nào rồi.	Dẫn Tường Vi về [FFFE0D]Bi Ma Sơn Trang[-]	Dẫn Tường Vi về [FFFE0D]Bi Ma Sơn Trang[-]	[url=pos:test,403,3030,8240]	[url=pos:test,403,3030,8240]	70|80|110	70|80|110	180	182				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 174]				498								
182	MainTask1_182	[C] Số Mệnh An Bài	Tường Vi cô nương không còn nhiều thời gian nữa, nhưng Nạp Lan cô nương hiện cũng đang nguy hiểm, phải làm sao đây?	Dẫn Tường Vi [FFFE0D]về phòng nghỉ ngơi[-]	Dẫn Tường Vi [FFFE0D]về phòng nghỉ ngơi[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	42|110|248		181	183				1	1	175			Exp|20000;Gold|10000			1	1													
183	MainTask1_183	[C] Nghìn Cân Sợi Tóc	Chân Nhi sao lại ở đây? Không biết cô ấy có thể...Ôi, cả Hồ Thần Y cũng hết cách, chỉ e...	Hỏi [FFFE0D]Nạp Lan Chân[-] sao lại ở đây	Hỏi [FFFE0D]Nạp Lan Chân[-] sao lại ở đây	[url=clientnpcbyidx:test, 42]	[url=clientnpcbyidx:test, 42]	42|110|248	42|110	182	184	175								Exp|20000;Gold|10000			1	1													
184	MainTask1_184	[C] Cô Gái Thông Minh	Nạp Lan cô nương sao lại xuất hiện ở Bi Ma Sơn Trang? Hỏi cô ấy xem đã xảy ra chuyện gì!	Chờ [FFFE0D]Nạp Lan Chân[-] ra	Chờ [FFFE0D]Nạp Lan Chân[-] ra	[url=taskitem:test, $T]	[url=taskitem:test, $T]	248|249|250	249|250	183	185				1	1	177			Exp|20000;Gold|10000			1	1	[url=dialog:test, 176]												
185	MainTask1_185	[C] Lo Nghĩ	Thật may mắn, Tường Vi cô nương được cứu rồi. Cũng nên tới Hàn Ba Cốc đón Nguyệt cô nương và Tử Hiên cô nương về.	Đón [FFFE0D]Tử Hiên và Nguyệt My Nhi[-]	Đón [FFFE0D]Tử Hiên và Nguyệt My Nhi[-]	[url=clientnpcbyidx:test, 112]	[url=clientnpcbyidx:test, 112]	111|112|251	111|112|251	184	186	177								Exp|20000;Gold|10000			1	1													
186	MainTask1_186	[C] Mọi Người Đoàn Viên	Khụ khụ, lát nữa Bi Ma Sơn Trang có đủ bốn mỹ nhân, không biết Dương huynh sau này định thế nào...Ha ha! Xem ra huynh ấy khó tránh được kiếp nạn!	Cùng về [FFFE0D]Bi Ma Sơn Trang[-]	Cùng về [FFFE0D]Bi Ma Sơn Trang[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	107|108|113|114|116|117|182	107|108|113|114|116|117|182	185	187				1	1	179			Exp|20000;Gold|10000			1	1	[url=dialog:test, 178]												
187	MainTask1_187	[C] Vô Ưu Giáo Chủ	Nạp Lan Tiềm Lẫm! Chủ mưu của tất cả tội ác, hôm nay ta sẽ tiêu diệt ngươi!	Cùng Nạp Lan Tiềm Lẫm [FFFE0D]quyết đấu[-]	Cùng Nạp Lan Tiềm Lẫm [FFFE0D]quyết đấu[-]	[url=goanddosomething:test, 498, 4570, 3050, gotofuben, 3, 8, 1]		107|108|113|114|115|116|117	107|108|113|114|115|116|117	186	188			3|8|1	1			1		Exp|20000;Gold|100000			1	1	[url=scenesound:test, 16]												Task_3
188	MainTask1_188	[C] Bi Ma Kiếm Thánh	Sự việc đã xong, giang hồ đã yên bình, nghe nói từng có vị đại hiệp tên Độc Cô Kiếm, võ công tuyệt thế, ta muốn tìm hiểu về ngài ấy, xin cáo từ Dương huynh!	Từ biệt [FFFE0D]Dương Ảnh Phong[-]	Từ biệt [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 252]	[url=clientnpcbyidx:test, 252]	251|252|254|255|256|257	252	187	189	180						1	1	Exp|20000;Gold|10000;Item|1043|1;ComposeValue|1|9			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_04"]												
189	MainTask1_189	[C] Công Tôn Tích Hoa	Đến Lâm An Thành thăm dò tin tức của Độc Cô đại hiệp. Đúng rồi, không biết Bà Chủ có tin tức gì không!	Hãy tăng cấp đến Lv[FFFE0D]30[-]	Đến [FFFE0D]Lâm An Thành[-] thăm dò Võ Lâm Đại Sự	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]	251|253|254|255|256|257	251|253|254|255|256|257	188	190	181	99							Exp|20000;Gold|10000			1	1						30							Task_4
190	MainTask1_190	[C] Hành Sơn Lư Thanh	Vài năm trước sau khi Trương cô nương tử chiến, Độc Cô đại hiệp ẩn cư giang hồ, Hành Sơn Kiếm Phái dần suy thoái. Hãy đi gặp Lư sư huynh.	Gặp [FFFE0D]Lư Thanh[-] tìm hiểu chuyện xưa	Gặp [FFFE0D]Lư Thanh[-] tìm hiểu chuyện xưa	[url=clientnpcbyidx:test, 121]	[url=clientnpcbyidx:test, 121]	121	121	189	191	182								Exp|20000;Gold|10000			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_05"]												
191	MainTask1_191	[C] Huyết Thư	Lư sư huynh khí chất phi phàm, võ công thâm hậu, chuyện xưa càng làm ta cảm thấy hứng thú!	Đến nơi năm xưa cùng [FFFE0D]Lư Thanh[-]	Đến nơi năm xưa cùng [FFFE0D]Lư Thanh[-]	[url=pos:test, 404, 2250, 6950]	[url=pos:test, 404, 2250, 6950]	122		190	192				1					Exp|20000;Gold|10000			1	1					486								
192	MainTask1_192	[C] Chuyện Quá Khứ	Hành Sơn Kiếm Phái giờ không còn nữa, năm xưa nếu như Lưu tiền bối không bị tập kích ở đây, cũng sẽ không ... Ngũ Sắc Giáo thật đáng ghét!	Hỏi [FFFE0D]Lư Thanh[-] chuyện năm xưa	Hỏi [FFFE0D]Lư Thanh[-] chuyện năm xưa	[url=clientnpcbyidx:test, 123]	[url=clientnpcbyidx:test, 123]	122|123	123	191	193	184								Exp|20000;Gold|10000			1	1													
193	MainTask1_193	[C] Diệt Ngũ Sắc Giáo	Năm xưa Lưu tiền bối là cao thủ bậc nhất võ lâm, đột nhiên qua đời làm chấn động võ lâm, không biết rốt cuộc đã xảy ra chuyện gì!	Theo Lư Thanh [FFFE0D]hồi tưởng chuyện xưa[-]	Theo Lư Thanh [FFFE0D]hồi tưởng chuyện xưa[-]	[url=pos:test, 486, 2100, 3000]	[url=pos:test, 486, 2250, 6950]	124	124	192	194			4|1|1	1			1		Exp|20000;Gold|100000			1	1													
194	MainTask1_194	[C] Hành Lễ Cảm Tạ	Thì ra là vậy! Độc Cô đại hiệp còn trẻ mà đã làm chưởng môn Hành Sơn Phái, lại còn một mình đánh bại sát thủ Ngũ Sắc Giáo! Thật đáng khâm phục!	Đa tạ [FFFE0D]Lư Thanh[-]	Đa tạ [FFFE0D]Lư Thanh[-]	[url=clientnpcbyidx:test, 189]	[url=clientnpcbyidx:test, 189]	189	189	193	195	186						1	1	Exp|20000;Gold|10000;Item|1083|1;Item|9697|1			1	1													
195	MainTask1_195	[C] Chuyện Cũ Võ Di	Võ Di Kiếm Phái nay đã sa sút, đệ tử chưa đến 100 người. Năm đó, Liễu Trung Nguyên tiền bối bị ám hại, võ công cũng không kịp truyền lại.	Chuẩn bị đến [FFFE0D]Võ Di Phái[-]	Chuẩn bị đến [FFFE0D]Võ Di Phái[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	190|126	190|126	194	196				1	1	188			Exp|20000;Gold|10000			1	1													
196	MainTask1_196	[C] Thám Thính Thực Hư	Từ đây đến Võ Di Kiếm Phái còn một đoạn nữa, không biết có ai biết đường đến đó không.	Hỏi [FFFE0D]Tiều Phu[-] đường đi	Hỏi [FFFE0D]Tiều Phu[-] đường đi	[url=clientnpcbyidx:test, 125]	[url=clientnpcbyidx:test, 125]	125	125	195	197	188								Exp|20000;Gold|10000			1	1													
197	MainTask1_197	[C] Cửu Hầu Bí Động	Đây là lối vào Cửu Hầu Động, nghe nói năm đó người muốn vào Võ Di Kiếm Phái phải vượt qua động này, vào xem thử	Đến [FFFE0D]Cửu Hầu Động[-] xem thử	Đến [FFFE0D]Cửu Hầu Động[-] xem thử	[url=pos:test,404,14250,4100]	[url=pos:test,404,14250,4100]	126	126	196	198				1					Exp|20000;Gold|10000			1	1	[url=pos:test,487,2200,3600]				487								
198	MainTask1_198	[C] Ác Hầu Cản Đường	Nghe nói khỉ trong động rất xảo quyệt, khó đối phó, ta muốn xem thử lợi hại cỡ nào.	Vượt [FFFE0D]Cửu Hầu Động[-]	Vượt [FFFE0D]Cửu Hầu Động[-]	[url=pos:test, 487, 2100, 5600]		126	126	197	199			4|2|1	1			1		Exp|20000;Gold|100000			1	1													
199	MainTask1_199	[C] Chuyện Quá Khứ	Cuối cùng cũng vượt qua Cửu Hầu Động, chỗ này rất tốt để rèn luyện, chỉ tiếc là Võ Di Kiếm Phái, ôi...	Hỏi [FFFE0D]Đệ Tử Võ Di[-] chuyện năm xưa	Hỏi [FFFE0D]Đệ Tử Võ Di[-] chuyện năm xưa	[url=clientnpcbyidx:test, 127]	[url=clientnpcbyidx:test, 127]	127	127	198	200	191								Exp|20000;Gold|10000			1	1													
200	MainTask1_200	[C] Quay Lại Lâm An	Chưởng môn không ở đây, trở về Lâm An Thành xem có tin tức gì khác không.	Hãy tăng cấp đến Lv[FFFE0D]33[-]	Đến Lâm An Thành hỏi thăm [FFFE0D]Chủ Quán Rượu[-]	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]	128	128	199	201	192	99					1	1	Exp|20000;Gold|10000;Item|1053|1			1	1						33							
201	MainTask1_201	[C] Thợ Mộc Chu Gia	Năm xưa Độc Cô đại hiệp hành hiệp trượng nghĩa cứu không ít người, tìm họ hỏi chắc sẽ biết nhiều hơn, nhưng... Không ngờ Độc Cô đại hiệp còn làm người mai mối...	Chuẩn bị đến thăm [FFFE0D]Chu Mộc Tượng[-]	Chuẩn bị đến thăm [FFFE0D]Chu Mộc Tượng[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	132		200	202				1	1	194			Exp|20000;Gold|10000			1	1	[url=dialog:test, 193]												
202	MainTask1_202	[C] Ra Tay Tương Trợ	Thật là to gan! Ban ngày ban mặt mà dám đi cướp người! Để ta xử lý các ngươi!	Diệt [FFFE0D]Lưu Manh[-] và cứu người	Diệt [FFFE0D]Lưu Manh[-] và cứu người	[url=npcanddosomething:test, 1013, 404, autofight, 1]		132	132	201	203				1					Exp|20000;Gold|100000	1013|3	1	1	1													
203	MainTask1_203	[C] Không Như Dự Tính	Cô gái xinh đẹp nên làm bọn lưu manh nảy sinh ý đồ xấu, không biết cô ấy một mình ở đây làm gì?	Hỏi [FFFE0D]thiếu nữ[-] có bị thương không	Hỏi [FFFE0D]thiếu nữ[-] có bị thương không	[url=clientnpcbyidx:test, 131]	[url=clientnpcbyidx:test, 131]	131	131	202	204	195								Exp|20000;Gold|10000			1	1													
204	MainTask1_204	[C] Điều Tra Đến Cùng	Cảm giác đang có người theo dõi phía sau, không được, ta phải đi xem sao!	Tìm người đang theo dõi [FFFE0D]quanh đây[-]	Tìm người đang theo dõi [FFFE0D]quanh đây[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	132	132	203	205				1	1	197			Exp|20000;Gold|10000			1	1	[url=dialog:test, 196]												
205	MainTask1_205	[C] Tiếp Tục Dò Hỏi	Quái lạ! Rõ ràng lúc nãy ta cảm thấy có người, giờ không còn nữa? Chẳng lẽ hắn cũng phát hiện ra ta sao?	Mau đến nhà [FFFE0D]Chu Mộc Tượng[-]	Mau đến nhà [FFFE0D]Chu Mộc Tượng[-]	[url=clientnpcbyidx:test, 135]	[url=clientnpcbyidx:test, 135]	133|134|135	135	204	206	197								Exp|20000;Gold|10000			1	1													
206	MainTask1_206	[C] Trở Lại Lâm An	Chu Mộc Tượng và Triệu Thất Nương sống rất hạnh phúc, sinh được quý tử. Nếu Độc Cô đại hiệp biết được chắc sẽ rất vui.	Tìm [FFFE0D]Chủ Quán Rượu[-]	Tìm [FFFE0D]Chủ Quán Rượu[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	133|134|136|137	133|134|136	205	207				1	1	199			Exp|20000;Gold|10000			1	1	[url=dialog:test, 198]												
207	MainTask1_207	[C] Gặp Chuyện Bất Bình	Phía trước có một thanh niên đang tranh cãi với một đám người xấu, đi xem xem thế nào.	Hỏi [FFFE0D]Thiếu Niên[-] đã xảy ra chuyện gì	Hỏi [FFFE0D]Thiếu Niên[-] đã xảy ra chuyện gì	[url=clientnpcbyidx:test, 137]	[url=clientnpcbyidx:test, 137]	137	137	206	208	199								Exp|20000;Gold|10000;Item|3314|1			1	1													
208	MainTask1_208	[C] Bảo Ngọc Gia Truyền	Sao lại nhiều lưu manh đến thế, vừa bắt gái nhà lành, lại còn cướp tài sản. Ta phải điều tra thử xem.	Lấy lại [FFFE0D]ngọc gia truyền của Kiếm Vân[-]	Lấy lại [FFFE0D]ngọc gia truyền của Kiếm Vân[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	138		207	209				1	1	201			Exp|20000;Gold|10000			1	1	[url=dialog:test, 200]												
209	MainTask1_209	[C] Tặc Phỉ Lộng Hành	Bọn Tặc Phỉ này xem ra đã quen thói hung hăng nên mới làm càn như vậy, để ta xem chúng có bản lĩnh gì!	Giáo huấn [FFFE0D]Tặc Phỉ[-]	Giáo huấn [FFFE0D]Tặc Phỉ[-]	[url=npcanddosomething:test, 1187, 404, autofight, 1]		138		208	210				1					Exp|20000;Gold|10000;Item|212|5	1187|3	1	1	1	[url=dialog:test, 201]												
210	MainTask1_210	[C] Ra Tay Diệt Ác	Xem ra tên Thủ Lĩnh Tặc Phỉ rất tự tin, thuộc hạ đã bị diệt hết mà cũng không trốn, để ta lĩnh giáo thử!	Đoạt ngọc trong tay [FFFE0D]Thủ Lĩnh[-]	Đoạt ngọc trong tay [FFFE0D]Thủ Lĩnh[-]	[url=npcanddosomething:test, 1188, 404, autofight, 1]		138	138	209	211				1					Exp|20000;Gold|10000	1188|1	1	1	1													
211	MainTask1_211	[C] Trả Lại Chủ Cũ	Miếng hồng ngọc trong suốt, đúng là báu vật quý hiếm, người này xuất thân không tầm thường.	Trả ngọc cho [FFFE0D]Kiếm Vân[-]	Trả ngọc cho [FFFE0D]Kiếm Vân[-]	[url=clientnpcbyidx:test, 137]	[url=clientnpcbyidx:test, 137]	137	137	210	212	203								Exp|20000;Gold|10000			1	1													
212	MainTask1_212	[C] Thu Vũ Cô Nương	Không ngờ lại gặp con của Thu Vũ cô nương ở đây!	Theo Kiếm Vân về gặp [FFFE0D]Thu Vũ[-]	Theo Kiếm Vân về gặp [FFFE0D]Thu Vũ[-]	[url=clientnpcbyidx:test, 141]	[url=clientnpcbyidx:test, 141]	139|141	139|141	211	213	204								Exp|20000;Gold|10000			1	1													
213	MainTask1_213	[C] Tướng Triều Đình	Thì ra Lưu tướng quân là cậu của Thu Vũ cô nương, xem ra ông ấy là người tốt bụng.	Mang rượu ngon cho [FFFE0D]Lưu tướng quân[-]	Mang rượu ngon cho [FFFE0D]Lưu tướng quân[-]	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]	140|142	140|142	212	214	205	91							Exp|20000;Gold|10000			1	1													
214	MainTask1_214	[C] Trương Công Tử	Không biết dạo này Bà Chủ có thông tin mới gì, mau đến hỏi thăm.	Tìm [FFFE0D]Chủ Quán Rượu[-]	Tìm [FFFE0D]Chủ Quán Rượu[-]	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			213	215	206	99							Exp|20000;Gold|10000			1	1													
215	MainTask1_215	[C] Tâm Đầu Ý Hợp	Thì ra Bà Chủ cũng là người liên quan. Hãy nghe bà ấy kể chuyện Độc Cô Kiếm đại hiệp và Trương Như Mộng đại hiệp!	Nghe [FFFE0D]Chủ Quán Rượu[-] kể chuyện xưa	Nghe [FFFE0D]Chủ Quán Rượu[-] kể chuyện xưa	[url=gotofuben:test, 4, 3, 1]				214	216			4|3|1	1			1		Exp|20000;Gold|100000			1	1													
216	MainTask1_216	[C] Tỏ Lòng Biết Ơn	Xem ra năm xưa Độc Cô đại hiệp và Trương Như Mộng công tử không chỉ là tri kỷ, mà còn là đối thủ của nhau, không biết khi nào ta mới tìm được một người như vậy?	Đa tạ [FFFE0D]Chủ Quán Rượu[-]	Đa tạ [FFFE0D]Chủ Quán Rượu[-]	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			215	217	208	99					1	1	Exp|20000;Gold|100000;ComposeValue|2|1;Item|9568|1			1	1													
217	MainTask1_217	[C] Cố Nhân	Không biết Lão Vương hiện đang ở đâu, Vệ Binh trong thành đã ở đây nhiều năm, có lẽ họ sẽ biết, đi hỏi họ xem sao.	Hãy tăng cấp đến Lv[FFFE0D]36[-]	Hỏi [FFFE0D]Vệ Binh[-] Lão Vương giờ ở đâu?	[url=clientnpcbyidx:test, 143]	[url=clientnpcbyidx:test, 143]	143	143	216	218	209						1	1	Exp|20000;Gold|100000;Item|1103|1			1	1						36							Task_5
218	MainTask1_218	[C] Đi Tìm	Vệ Binh quả nhiên biết Lão Vương ở đâu, hãy theo chỉ dẫn trên bản đồ tìm Lão Vương trước rồi tính.	Theo gợi ý tìm [FFFE0D]Lão Vương[-]	Theo gợi ý tìm [FFFE0D]Lão Vương[-]	[url=clientnpcbyidx:test, 145]	[url=clientnpcbyidx:test, 145]	144|145	144|145	217	219	210								Exp|20000;Gold|100000			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_06"]												
219	MainTask1_219	[C] Nghi Hoặc	Lão Vương xem ra đối với chuyện xưa vẫn rất hứng thú, đi gặp Giả Bộc Trực xem có thu hoạch gì không!	Tìm [FFFE0D]Giả Bộc Trực[-] hỏi rõ	Tìm [FFFE0D]Giả Bộc Trực[-] hỏi rõ	[url=clientnpcbyidx:test, 147]	[url=clientnpcbyidx:test, 147]	146|147	146|147	218	220	211								Exp|20000;Gold|10000			1	1													
220	MainTask1_220	[C] Nơi Chôn Giấu	Giả Bộc Trực không chịu thiệt bao giờ, Nam Cung Phi không biết sao lại mất tích khỏi giang hồ, có cơ hội ta phải tìm hiểu chuyện của hắn ta mới được.	Đến nơi [FFFE0D]Nam Cung Thái Hồng[-] giấu đồ	Đến nơi [FFFE0D]Nam Cung Thái Hồng[-] giấu đồ	[url=taskitem:test, $T]	[url=taskitem:test, $T]	148		219	221				1	1	213			Exp|20000;Gold|100000			1	1	[url=dialog:test, 212]												
221	MainTask1_221	[C] Nam Cung Thế Gia	Thủ Vệ Nam Cung chỉ làm đúng nhiệm vụ, phải xông qua đó nhưng đừng làm họ bị thương.	Xem ra phải [FFFE0D]xông lên[-] thôi	Xem ra phải [FFFE0D]xông lên[-] thôi	[url=npcanddosomething:test, 1014, 405, autofight, 1]		148		220	222				1					Exp|20000;Gold|100000	1014|3	1	1	1													
222	MainTask1_222	[C] Đào Kho Báu	Đây là nơi Giả Bộc Trực đã nói ta biết, không biết Nam Cung cô nương năm xưa đã chôn gì ở đây, không lẽ là bí kíp? Nhưng Giả Bộc Trực chắc không thích nó, không lẽ là trang sức quý báu?	Tìm nơi [FFFE0D]Nam Cung Thái Hồng[-] giấu đồ	Tìm nơi [FFFE0D]Nam Cung Thái Hồng[-] giấu đồ	[url=taskitem:test, $T]	[url=taskitem:test, $T]	148	148	221	223				1	1	215			Exp|20000;Gold|100000			1	1	[url=dialog:test, 214]												
223	MainTask1_223	[C] Một Túi Vải	Quái lạ! Bao này vừa nhẹ vừa mềm, dường như chỉ chứa vài loại vải nào đó thôi, chẳng lẽ đây chính là quần áo mà Nam Cung cô nương để lại năm đó? Giả Bộc Trực này không phải ... Thôi kệ, đem về cho ông ấy vậy!	Mang Túi Vải về tìm [FFFE0D]Giả Bộc Trực[-]	Mang Túi Vải về tìm [FFFE0D]Giả Bộc Trực[-]	[url=clientnpcbyidx:test, 147]	[url=clientnpcbyidx:test, 147]	147	147	222	224	215								Exp|20000;Gold|100000			1	1													
224	MainTask1_224	[C] Sự Thật Đau Khổ	Thì ra năm đó Giả Bộc Trực giúp Độc Cô đại hiệp là vì giọt nước mắt của Nam Cung cô nương. Ta đoán Độc Cô đại hiệp chưa hẳn đã đưa lão giọt nước mắt!	Kể sự việc cho [FFFE0D]Lão Vương[-]	Kể sự việc cho [FFFE0D]Lão Vương[-]	[url=clientnpcbyidx:test, 145]	[url=clientnpcbyidx:test, 145]	145|148	145|148	223	225	216								Exp|20000;Gold|10000			1	1													
225	MainTask1_225	[C] Thì Ra Là Vậy	Giải quyết được mối nghi trong lòng Lão Vương rồi, việc Độc Cô đại hiệp xông pha Bích Hà Đảo ta từng nghe, hôm nay được đích thân Lão Vương kể lại, thật là vô cùng đặc sắc!	Để Lão Vương kể [FFFE0D]chuyện năm xưa[-]	Để Lão Vương kể [FFFE0D]chuyện năm xưa[-]	[url=goanddosomething:test, 405, 6100, 10500, gotofuben, 4, 4, 1]		146	146	224	226			4|4|1	1			1		Exp|20000;Gold|100000			1	1													
226	MainTask1_226	[C] Hết Lời Cảm Tạ	Không biết tên Hoa Tặc kia là người như thế nào mà ngay cả Trương Lâm Tâm cô nương cũng không phải đối thủ của hắn. Người như vậy cũng là một cao thủ giang hồ nhưng sao lại cứ phải làm Hoa Tặc thế không biết!	Cảm ơn [FFFE0D]Lão Vương[-]	Cảm ơn [FFFE0D]Lão Vương[-]	[url=clientnpcbyidx:test, 145]	[url=clientnpcbyidx:test, 145]	145	145	225	227	218								Exp|20000;Gold|100000			1	1													
227	MainTask1_227	[C] Báu Vật Trong Túi	Không biết trong túi đựng gì, chắc không phải là đồ của Nam Cung cô nương chứ... Không được, ta phải đi hỏi Giả Bộc Trực!	Hỏi [FFFE0D]Giả Bộc Trực[-] trong túi là gì	Hỏi [FFFE0D]Giả Bộc Trực[-] trong túi là gì	[url=taskitem:test, $T]	[url=taskitem:test, $T]	146	146	226	228				1	1	220			Exp|20000;Gold|10000			1	1	[url=dialog:test, 219]												
228	MainTask1_228	[C] Tiếp Tục Trợ Giúp	Cô ta may mắn 2 lần đều được ta cứu.	Giúp đỡ [FFFE0D]thiếu nữ[-] lần nữa	Giúp đỡ [FFFE0D]thiếu nữ[-] lần nữa	[url=npcanddosomething:test, 1015, 405, autofight, 1]		150	150	227	229				1					Exp|20000;Gold|100000	1015|3	1	1	1													
229	MainTask1_229	[C] Không Hiểu Chút Gì	Ta cứu cô nương ấy rồi, cô nương ấy lại có vẻ không vui... Rốt cuộc là tại sao? Có ẩn tình gì chăng?	Hỏi [FFFE0D]thiếu nữ[-] xem là chuyện gì	Hỏi [FFFE0D]thiếu nữ[-] xem là chuyện gì	[url=clientnpcbyidx:test, 149]	[url=clientnpcbyidx:test, 149]	149	149	228	230	221								Exp|20000;Gold|100000			1	1	[url=dialog:test, 6221]												
230	MainTask1_230	[C] Tiểu Thư Đài Các	Thì ra là ta phá chuyện của hai người họ... Nhưng Hà Mai... không phải là người mà Độc Cô đại hiệp đã cứu năm đó sao? Vừa đúng lúc phải đến gặp cô ta rồi.	Đi gặp [FFFE0D]Hà Mai[-]	Đi gặp [FFFE0D]Hà Mai[-]	[url=clientnpcbyidx:test, 153]	[url=clientnpcbyidx:test, 153]	150|153|152	150|153|152	229	231	222								Exp|20000;Gold|100000			1	1													
231	MainTask1_231	[C] Tơ Lòng Vấn Vương	Xem ra Hà cô nương là người hiểu đại nghĩa, có thể năm xưa cô ấy không được Độc Cô đại hiệp quan tâm nên giờ ngưỡng mộ tình cảm của các cặp đôi khác.	Hãy tăng cấp đến Lv[FFFE0D]38[-]	Kể chuyện Hà Mai cho [FFFE0D]Chu Tiểu Phú[-]	[url=clientnpcbyidx:test, 191]	[url=clientnpcbyidx:test, 191]	150|154|191	154|191	230	232	223						1	1	Exp|20000;Gold|10000;Item|1063|1			1	1						38							
